TF_NAME	MATRIX_ID	Z_SCORE	P_VALUE	SAMPLE_AVERAGE	BACKGROUND_AVERAGE	SAMPLE_DEVSTD	SAMPLE_SIZE
Esrrg	MA0643.1	-0.0130167	0.505193	0.850021	0.850639	0.850021	1
Foxo1	MA0480.1	-0.014945	0.505962	0.866199	0.866891	0.866199	1
HIC2	MA0738.1	-0.0162328	0.506476	0.927002	0.927584	0.927002	1
KLF14	MA0740.1	-0.0200592	0.508002	0.831417	0.832469	0.831417	1
TFDP1	MA1122.1	-0.0230347	0.509189	0.864055	0.865421	0.864055	1
POU3F4	MA0789.1	-0.024306	0.509696	0.835421	0.836991	0.835421	1
Mlxip	MA0622.1	-0.0245005	0.509773	0.853747	0.855234	0.853747	1
NR1H4	MA1110.1	-0.0248496	0.509913	0.827172	0.828381	0.827172	1
CUX1	MA0754.1	-0.0277567	0.511072	0.817941	0.819599	0.817941	1
IRF8	MA0652.1	-0.0290303	0.51158	0.742426	0.743701	0.742426	1
Nr1h3::Rxra	MA0494.1	-0.0313903	0.512521	0.817127	0.81817	0.817127	1
CREB3L1	MA0839.1	-0.0347243	0.51385	0.756122	0.757521	0.756122	1
FOS	MA0476.1	-0.0357684	0.514267	0.854524	0.856382	0.854524	1
TP63	MA0525.2	-0.0381901	0.515232	0.721371	0.722819	0.721371	1
HNF4G	MA0484.1	-0.0394967	0.515753	0.844904	0.846372	0.844904	1
RUNX2	MA0511.2	-0.0403332	0.516087	0.855424	0.857211	0.855424	1
PPARG	MA0066.1	-0.0431442	0.517207	0.760374	0.761729	0.760374	1
Pax6	MA0069.1	-0.0447966	0.517866	0.791182	0.792785	0.791182	1
FOXG1	MA0613.1	-0.0470062	0.518746	0.870578	0.873661	0.870578	1
NEUROD1	MA1109.1	-0.0474011	0.518904	0.849668	0.851774	0.849668	1
FOSB::JUNB	MA1135.1	-0.0519509	0.520716	0.838196	0.840843	0.838196	1
TFAP2A(var.3)	MA0872.1	-0.052931	0.521107	0.81986	0.822845	0.81986	1
MSC	MA0665.1	-0.0585262	0.523336	0.832846	0.835372	0.832846	1
RUNX1	MA0002.2	-0.0606015	0.524162	0.875049	0.877412	0.875049	1
IRF2	MA0051.1	-0.0641154	0.525561	0.779451	0.782123	0.779451	1
HOXD13	MA0909.1	-0.0684032	0.527268	0.872139	0.875855	0.872139	1
CEBPB	MA0466.2	-0.0705367	0.528117	0.840797	0.843887	0.840797	1
FOSL2::JUND	MA1144.1	-0.0735905	0.529332	0.833136	0.83687	0.833136	1
CUX2	MA0755.1	-0.0815646	0.532504	0.798532	0.803299	0.798532	1
Rarb	MA0857.1	-0.0833263	0.533204	0.715808	0.719725	0.715808	1
ZIC4	MA0751.1	-0.0888323	0.535393	0.816747	0.820361	0.816747	1
Gfi1b	MA0483.1	-0.0911828	0.536327	0.865985	0.869976	0.865985	1
MYBL2	MA0777.1	-0.0972121	0.538722	0.731999	0.735854	0.731999	1
FOSL2::JUNB	MA1138.1	-0.0973643	0.538782	0.83214	0.837277	0.83214	1
Npas2	MA0626.1	-0.0987689	0.53934	0.866083	0.871003	0.866083	1
HOXA5	MA0158.1	-0.101169	0.540292	0.94429	0.947713	0.94429	1
HOXC13	MA0907.1	-0.105334	0.541945	0.811524	0.816701	0.811524	1
Foxa2	MA0047.2	-0.105716	0.542097	0.850678	0.85579	0.850678	1
TP73	MA0861.1	-0.111061	0.544217	0.762881	0.76715	0.762881	1
PAX3	MA0780.1	-0.113237	0.54508	0.773452	0.781063	0.773452	1
ERG	MA0474.2	-0.114535	0.545594	0.861711	0.866745	0.861711	1
JUND	MA0491.1	-0.11858	0.547197	0.839875	0.845761	0.839875	1
GCM1	MA0646.1	-0.121144	0.548212	0.819866	0.824472	0.819866	1
ZSCAN4	MA1155.1	-0.121308	0.548277	0.752945	0.758085	0.752945	1
VDR	MA0693.2	-0.122668	0.548816	0.908942	0.914729	0.908942	1
BHLHE23	MA0817.1	-0.122716	0.548835	0.791689	0.797986	0.791689	1
MAFG	MA0659.1	-0.122983	0.548941	0.735058	0.739398	0.735058	1
FOSL2::JUND(var.2)	MA1145.1	-0.123249	0.549046	0.777946	0.784091	0.777946	1
ETS1	MA0098.3	-0.127131	0.550582	0.858678	0.864365	0.858678	1
Rarb(var.2)	MA0858.1	-0.129108	0.551365	0.722066	0.727266	0.722066	1
OLIG1	MA0826.1	-0.129561	0.551544	0.803814	0.810393	0.803814	1
TCF7L1	MA1421.1	-0.129885	0.551672	0.794238	0.800135	0.794238	1
FOXP1	MA0481.2	-0.130369	0.551864	0.840182	0.847106	0.840182	1
Myod1	MA0499.1	-0.134807	0.553618	0.880461	0.886961	0.880461	1
TFAP2C(var.3)	MA0815.1	-0.135057	0.553717	0.820386	0.827827	0.820386	1
HOXB13	MA0901.1	-0.14227	0.556567	0.85372	0.861258	0.85372	1
FOSL2::JUN	MA1130.1	-0.146316	0.558165	0.832358	0.839469	0.832358	1
JUND(var.2)	MA0492.1	-0.146951	0.558416	0.819127	0.826002	0.819127	1
SREBF2	MA0596.1	-0.14776	0.558735	0.858632	0.865335	0.858632	1
MNX1	MA0707.1	-0.149446	0.5594	0.890943	0.898661	0.890943	1
Hes2	MA0616.1	-0.150935	0.559987	0.831053	0.836545	0.831053	1
POU5F1B	MA0792.1	-0.159395	0.563322	0.84871	0.858161	0.84871	1
Rfx1	MA0509.1	-0.160794	0.563873	0.796154	0.803157	0.796154	1
TFE3	MA0831.2	-0.164884	0.565483	0.872466	0.880644	0.872466	1
TFEC	MA0871.1	-0.16668	0.56619	0.877928	0.884209	0.877928	1
RARA::RXRA	MA0159.1	-0.170783	0.567804	0.810115	0.815585	0.810115	1
HOXA13	MA0650.1	-0.171959	0.568266	0.860646	0.869817	0.860646	1
CTCFL	MA1102.1	-0.182241	0.572304	0.805052	0.815701	0.805052	1
GLIS2	MA0736.1	-0.182576	0.572436	0.79517	0.802793	0.79517	1
IRF4	MA1419.1	-0.187045	0.574189	0.719703	0.727626	0.719703	1
Atoh1	MA0461.2	-0.194534	0.577122	0.846377	0.855069	0.846377	1
Tcf7	MA0769.1	-0.19816	0.578541	0.783692	0.793094	0.783692	1
TBX20	MA0689.1	-0.199762	0.579168	0.823427	0.831802	0.823427	1
E2F4	MA0470.1	-0.200134	0.579313	0.871624	0.883313	0.871624	1
Dmbx1	MA0883.1	-0.203359	0.580574	0.808972	0.817712	0.808972	1
Sox5	MA0087.1	-0.206536	0.581815	0.898098	0.911351	0.898098	1
Sox11	MA0869.1	-0.208994	0.582775	0.685354	0.696593	0.685354	1
Atf1	MA0604.1	-0.226139	0.589455	0.849532	0.861303	0.849532	1
POU2F2	MA0507.1	-0.233243	0.592215	0.812402	0.826126	0.812402	1
ZBTB7A	MA0750.2	-0.235801	0.593208	0.832902	0.845136	0.832902	1
E2F8	MA0865.1	-0.237902	0.594023	0.746557	0.757213	0.746557	1
SOX9	MA0077.1	-0.240438	0.595006	0.86585	0.876787	0.86585	1
SPIB	MA0081.1	-0.24623	0.597249	0.956504	0.96503	0.956504	1
MXI1	MA1108.1	-0.24985	0.59865	0.819002	0.832236	0.819002	1
FOSL1::JUND	MA1142.1	-0.251362	0.599234	0.85453	0.865777	0.85453	1
Klf12	MA0742.1	-0.25838	0.601945	0.814956	0.826876	0.814956	1
ZIC3	MA0697.1	-0.260679	0.602832	0.789245	0.800417	0.789245	1
TFEB	MA0692.1	-0.262175	0.603408	0.835918	0.848228	0.835918	1
Pou2f3	MA0627.1	-0.263383	0.603874	0.774632	0.789356	0.774632	1
FOS::JUN	MA0099.3	-0.271744	0.607092	0.83168	0.844868	0.83168	1
Sox2	MA0143.3	-0.286101	0.612601	0.870619	0.885915	0.870619	1
CEBPD	MA0836.1	-0.296068	0.616413	0.823784	0.836955	0.823784	1
RXRA::VDR	MA0074.1	-0.298437	0.617317	0.768508	0.779408	0.768508	1
CEBPA	MA0102.3	-0.301008	0.618297	0.850849	0.864596	0.850849	1
TFAP2B(var.3)	MA0813.1	-0.306496	0.620388	0.818556	0.834683	0.818556	1
Crx	MA0467.1	-0.307509	0.620774	0.835062	0.847864	0.835062	1
FOXP3	MA0850.1	-0.313599	0.623089	0.927242	0.939312	0.927242	1
JDP2	MA0655.1	-0.3136	0.623089	0.791931	0.809326	0.791931	1
RREB1	MA0073.1	-0.317773	0.624673	0.804447	0.818434	0.804447	1
ETV5	MA0765.1	-0.318277	0.624864	0.86309	0.877579	0.86309	1
NFKB2	MA0778.1	-0.32125	0.625991	0.768056	0.784916	0.768056	1
FLI1	MA0475.2	-0.330133	0.629352	0.832115	0.847667	0.832115	1
FOXK2	MA1103.1	-0.338426	0.632481	0.837458	0.857492	0.837458	1
SIX2	MA1119.1	-0.340988	0.633445	0.753558	0.768043	0.753558	1
NR3C1	MA0113.3	-0.343846	0.634521	0.738239	0.752987	0.738239	1
KLF9	MA1107.1	-0.344412	0.634734	0.824688	0.842275	0.824688	1
SOX10	MA0442.2	-0.351248	0.637301	0.868154	0.887592	0.868154	1
Znf423	MA0116.1	-0.353909	0.638298	0.833111	0.847088	0.833111	1
ELF4	MA0641.1	-0.355477	0.638886	0.782346	0.798956	0.782346	1
RUNX3	MA0684.1	-0.359689	0.640462	0.834589	0.850032	0.834589	1
ERF	MA0760.1	-0.36052	0.640773	0.83268	0.848754	0.83268	1
JUN::JUNB	MA1132.1	-0.379252	0.647752	0.83114	0.848035	0.83114	1
ESR2	MA0258.2	-0.398189	0.654757	0.806639	0.821593	0.806639	1
KLF4	MA0039.3	-0.40788	0.658321	0.849809	0.870213	0.849809	1
Pax2	MA0067.1	-0.408444	0.658528	0.934124	0.947034	0.934124	1
XBP1	MA0844.1	-0.410392	0.659243	0.759171	0.775563	0.759171	1
TFAP2C	MA0524.2	-0.411822	0.659767	0.85171	0.869615	0.85171	1
NFATC2	MA0152.1	-0.424957	0.664568	0.917605	0.936661	0.917605	1
MYCN	MA0104.4	-0.42562	0.66481	0.788702	0.81122	0.788702	1
ZNF410	MA0752.1	-0.433809	0.667789	0.691676	0.710379	0.691676	1
SOX4	MA0867.1	-0.442927	0.671093	0.66045	0.683133	0.66045	1
NR3C2	MA0727.1	-0.444555	0.671682	0.729965	0.749144	0.729965	1
SP4	MA0685.1	-0.452059	0.674389	0.78026	0.805541	0.78026	1
E2F6	MA0471.1	-0.467531	0.679943	0.886723	0.909597	0.886723	1
KLF5	MA0599.1	-0.470117	0.680867	0.917766	0.941922	0.917766	1
ETV1	MA0761.1	-0.472665	0.681776	0.836044	0.857621	0.836044	1
Sox17	MA0078.1	-0.47983	0.684328	0.886128	0.909446	0.886128	1
FEV	MA0156.2	-0.481772	0.685018	0.836467	0.858473	0.836467	1
MYC	MA0147.3	-0.484823	0.686102	0.805717	0.831813	0.805717	1
TFAP2B	MA0811.1	-0.488142	0.687278	0.852126	0.873404	0.852126	1
TEAD4	MA0809.1	-0.488287	0.687329	0.885683	0.906816	0.885683	1
Spz1	MA0111.1	-0.4895	0.687759	0.872135	0.886225	0.872135	1
NFIX	MA0671.1	-0.49649	0.690228	0.935926	0.950047	0.935926	1
REST	MA0138.2	-0.497973	0.690751	0.689696	0.708879	0.689696	1
SOX8	MA0868.1	-0.500883	0.691776	0.653483	0.678635	0.653483	1
Tcf21	MA0832.1	-0.507235	0.694008	0.742294	0.76578	0.742294	1
JUN	MA0488.1	-0.507341	0.694045	0.802296	0.826326	0.802296	1
CEBPG	MA0838.1	-0.510267	0.69507	0.78365	0.807158	0.78365	1
Bcl6	MA0463.1	-0.511578	0.695529	0.80088	0.822224	0.80088	1
ETV4	MA0764.1	-0.518007	0.697776	0.841214	0.863612	0.841214	1
MAX::MYC	MA0059.1	-0.524905	0.700178	0.799503	0.823262	0.799503	1
ZNF740	MA0753.1	-0.541915	0.706064	0.828755	0.858084	0.828755	1
NFYA	MA0060.3	-0.542581	0.706294	0.814096	0.8443	0.814096	1
PBX3	MA1114.1	-0.544536	0.706966	0.758907	0.783991	0.758907	1
ELK3	MA0759.1	-0.54603	0.70748	0.817839	0.844602	0.817839	1
TFAP2A(var.2)	MA0810.1	-0.559006	0.711924	0.863116	0.888034	0.863116	1
RARA(var.2)	MA0730.1	-0.562757	0.713203	0.712344	0.734131	0.712344	1
ETV3	MA0763.1	-0.575197	0.717424	0.828719	0.853083	0.828719	1
RFX5	MA0510.2	-0.604721	0.727321	0.705297	0.733618	0.705297	1
PAX5	MA0014.3	-0.610553	0.729255	0.807195	0.83489	0.807195	1
RFX4	MA0799.1	-0.610687	0.729299	0.764866	0.790326	0.764866	1
KLF16	MA0741.1	-0.612916	0.730037	0.850217	0.885928	0.850217	1
NFIA	MA0670.1	-0.615649	0.73094	0.835944	0.876642	0.835944	1
MNT	MA0825.1	-0.623721	0.733598	0.830854	0.86276	0.830854	1
GCM2	MA0767.1	-0.631705	0.736213	0.831103	0.855305	0.831103	1
ELK1	MA0028.2	-0.634057	0.736981	0.788718	0.823048	0.788718	1
BCL6B	MA0731.1	-0.6433	0.739988	0.669428	0.695965	0.669428	1
NEUROD2	MA0668.1	-0.646586	0.741053	0.851023	0.87403	0.851023	1
SREBF1	MA0595.1	-0.655855	0.744044	0.852063	0.880349	0.852063	1
NRF1	MA0506.1	-0.659811	0.745315	0.815233	0.857175	0.815233	1
NFYB	MA0502.1	-0.662866	0.746295	0.785	0.818864	0.785	1
Ascl2	MA0816.1	-0.677056	0.750818	0.829318	0.861785	0.829318	1
Rhox11	MA0629.1	-0.693092	0.755877	0.79485	0.820899	0.79485	1
ASCL1	MA1100.1	-0.699464	0.757872	0.817247	0.853709	0.817247	1
CTCF	MA0139.1	-0.714536	0.762555	0.764738	0.793984	0.764738	1
E2F1	MA0024.3	-0.725327	0.765878	0.757223	0.78829	0.757223	1
POU5F1	MA1115.1	-0.725477	0.765923	0.814292	0.858339	0.814292	1
MYB	MA0100.3	-0.726437	0.766218	0.849643	0.891633	0.849643	1
MAX	MA0058.3	-0.726572	0.766259	0.813382	0.851837	0.813382	1
LIN54	MA0619.1	-0.730849	0.767568	0.854121	0.903375	0.854121	1
HEY1	MA0823.1	-0.737059	0.76946	0.787778	0.829471	0.787778	1
GLIS3	MA0737.1	-0.74103	0.770666	0.732903	0.761352	0.732903	1
HEY2	MA0649.1	-0.743496	0.771413	0.799792	0.837979	0.799792	1
T	MA0009.2	-0.759785	0.776312	0.698519	0.728696	0.698519	1
CREB3	MA0638.1	-0.770958	0.779637	0.749076	0.78083	0.749076	1
RFX3	MA0798.1	-0.780792	0.782541	0.737231	0.770608	0.737231	1
Gabpa	MA0062.2	-0.802064	0.788746	0.815527	0.856425	0.815527	1
Klf1	MA0493.1	-0.80425	0.789377	0.847441	0.883906	0.847441	1
SOX13	MA1120.1	-0.80448	0.789443	0.823465	0.86741	0.823465	1
RFX2	MA0600.2	-0.805658	0.789783	0.703479	0.740727	0.703479	1
Arnt	MA0004.1	-0.808883	0.790712	0.833535	0.887595	0.833535	1
NEUROG2	MA0669.1	-0.81428	0.792261	0.787128	0.824601	0.787128	1
Sox1	MA0870.1	-0.81533	0.792562	0.687925	0.729639	0.687925	1
Crem	MA0609.1	-0.833185	0.797633	0.762805	0.808427	0.762805	1
MYF6	MA0667.1	-0.875308	0.8093	0.780028	0.821937	0.780028	1
IRF5	MA1420.1	-0.881341	0.810937	0.736866	0.77007	0.736866	1
YY1	MA0095.2	-0.885393	0.812031	0.781773	0.827146	0.781773	1
ZNF143	MA0088.2	-0.89765	0.815318	0.734816	0.770055	0.734816	1
Rarg(var.2)	MA0860.1	-0.908522	0.818202	0.684801	0.725012	0.684801	1
NFAT5	MA0606.1	-0.913745	0.819578	0.865941	0.903642	0.865941	1
EGR4	MA0733.1	-0.926111	0.822809	0.753207	0.794674	0.753207	1
EGR2	MA0472.2	-0.936951	0.825612	0.77676	0.822415	0.77676	1
BHLHE22	MA0818.1	-0.945642	0.827838	0.780871	0.826834	0.780871	1
Hic1	MA0739.1	-0.950644	0.829111	0.852889	0.88943	0.852889	1
SOX21	MA0866.1	-0.959967	0.831468	0.680619	0.729573	0.680619	1
Tcfl5	MA0632.1	-0.991758	0.839346	0.854987	0.909982	0.854987	1
MEIS3	MA0775.1	-1.01891	0.84588	0.872896	0.91735	0.872896	1
HIF1A	MA1106.1	-1.02056	0.846273	0.800075	0.856929	0.800075	1
MEIS2	MA0774.1	-1.02536	0.847407	0.841789	0.892716	0.841789	1
ETV6	MA0645.1	-1.03084	0.848695	0.821513	0.869437	0.821513	1
REL	MA0101.1	-1.03995	0.850821	0.853683	0.893731	0.853683	1
ELF1	MA0473.2	-1.04557	0.852125	0.750227	0.799534	0.750227	1
ATF4	MA0833.1	-1.05094	0.85336	0.757455	0.801645	0.757455	1
Bhlha15	MA0607.1	-1.05172	0.85354	0.837094	0.889661	0.837094	1
NR4A2::RXRA	MA1147.1	-1.0528	0.853788	0.757153	0.793645	0.757153	1
HINFP	MA0131.2	-1.06455	0.856463	0.778099	0.833703	0.778099	1
NFE2	MA0841.1	-1.06903	0.857476	0.73685	0.791955	0.73685	1
PBX2	MA1113.1	-1.07727	0.859324	0.765988	0.817737	0.765988	1
NR1A4::RXRA	MA1146.1	-1.09131	0.862435	0.742081	0.779564	0.742081	1
SP3	MA0746.1	-1.09827	0.86396	0.842479	0.900242	0.842479	1
Hes1	MA1099.1	-1.11463	0.867499	0.829011	0.882978	0.829011	1
RELA	MA0107.1	-1.11691	0.867988	0.800681	0.853475	0.800681	1
TEAD2	MA1121.1	-1.12061	0.868778	0.783222	0.835124	0.783222	1
TEAD3	MA0808.1	-1.12463	0.869631	0.849729	0.904781	0.849729	1
SP8	MA0747.1	-1.12917	0.87059	0.833866	0.885494	0.833866	1
CENPB	MA0637.1	-1.13145	0.871071	0.760843	0.799152	0.760843	1
RBPJ	MA1116.1	-1.13282	0.871359	0.855031	0.921821	0.855031	1
GMEB2	MA0862.1	-1.13495	0.871806	0.785334	0.838761	0.785334	1
Gmeb1	MA0615.1	-1.14675	0.874262	0.787636	0.832942	0.787636	1
ESR1	MA0112.3	-1.15748	0.876465	0.692612	0.740716	0.692612	1
TEAD1	MA0090.2	-1.20479	0.885861	0.855472	0.902242	0.855472	1
YY2	MA0748.1	-1.21704	0.888209	0.774658	0.826637	0.774658	1
TBX19	MA0804.1	-1.2429	0.89305	0.663435	0.711436	0.663435	1
MEIS1	MA0498.2	-1.25032	0.894412	0.905903	0.957114	0.905903	1
EGR3	MA0732.1	-1.2686	0.897712	0.723557	0.79503	0.723557	1
Hnf4a	MA0114.3	-1.27672	0.899153	0.692592	0.744142	0.692592	1
SP2	MA0516.1	-1.33346	0.908812	0.812396	0.886827	0.812396	1
SPDEF	MA0686.1	-1.39129	0.917934	0.761085	0.820302	0.761085	1
MTF1	MA0863.1	-1.41556	0.921551	0.694791	0.748248	0.694791	1
Gfi1	MA0038.1	-1.41912	0.922071	0.839318	0.900098	0.839318	1
SP1	MA0079.3	-1.43463	0.924306	0.848405	0.924259	0.848405	1
EGR1	MA0162.3	-1.50656	0.934042	0.694799	0.774292	0.694799	1
HES5	MA0821.1	-1.94537	0.974136	0.672778	0.773233	0.672778	1
ARNT::HIF1A	MA0259.1	-1.97195	0.975694	0.812151	0.914722	0.812151	1
HES7	MA0822.1	-2.03585	0.979119	0.645966	0.755756	0.645966	1
Ahr::Arnt	MA0006.1	-2.30446	0.989403	0.81501	0.938736	0.81501	1
