"Index","Record","Symbol","Description","Location","Mean","Max LRS ?","Max LRS Location","Additive Effect ?","Sample r","&nbsp;&nbsp;N","Sample p(r)","Lit r","Tissue r"
"6432","ILMN_1685641","BCHE","butyrylcholinesterase (BCHE), mRNA.","Chr3: 166.973917","7.129","N/A","N/A","N/A","0.267","145","1.175e-03","0.391","0.200"
"6433","ILMN_1762400","OR52R1","olfactory receptor, family 52, subfamily R, member 1 (OR52R1), mRNA.","ChrUn: 1.000000","6.917","N/A","N/A","N/A","-0.267","145","1.175e-03","--","--"
"6434","ILMN_1787548","HSPG2","heparan sulfate proteoglycan 2 (HSPG2), mRNA.","ChrUn: 1.000000","6.975","N/A","N/A","N/A","-0.267","145","1.175e-03","0.395","0.365"
"6435","ILMN_1664748","SLC25A25","solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25 (SLC25A25), nuclear gene encoding mitochondrial protein, transcript variant 3, mRNA.","Chr9: 129.894111","6.985","N/A","N/A","N/A","-0.267","145","1.176e-03","--","0.289"
"6436","ILMN_1660186","SYF2","SYF2 homolog, RNA splicing factor (S. cerevisiae) (SYF2), transcript variant 2, mRNA.","ChrUn: 1.000000","10.997","N/A","N/A","N/A","-0.267","145","1.176e-03","--","0.148"
"6437","ILMN_1749838","MZF1","myeloid zinc finger 1 (MZF1), transcript variant 2, mRNA.","Chr19: 63.765181","10.695","N/A","N/A","N/A","0.267","145","1.177e-03","0.294","-0.476"
"6438","ILMN_1693853","HHAT","hedgehog acyltransferase (HHAT), mRNA.","Chr1: 208.915892","7.002","N/A","N/A","N/A","-0.267","145","1.178e-03","0.295","0.275"
"6439","ILMN_1675321","PSMC3IP","PSMC3 interacting protein (PSMC3IP), transcript variant 1, mRNA.","Chr17: 37.983308","6.920","N/A","N/A","N/A","-0.267","145","1.179e-03","0.311","-0.708"
"6440","ILMN_1706558","FLJ20628","hypothetical protein FLJ20628 (FLJ20628), mRNA.","Chr2: 28.926588","7.625","N/A","N/A","N/A","-0.267","145","1.180e-03","--","--"
"6441","ILMN_1728298","SBK1","SH3-binding domain kinase 1 (SBK1), mRNA.","Chr16: 28.242520","10.328","N/A","N/A","N/A","-0.267","145","1.180e-03","0.278","0.160"
"6442","ILMN_1684933","MC3R","melanocortin 3 receptor (MC3R), mRNA.","Chr20: 54.258224","6.828","N/A","N/A","N/A","-0.267","145","1.180e-03","0.406","0.126"
"6443","ILMN_1792107","ERCC8","excision repair cross-complementing rodent repair deficiency, complementation group 8 (ERCC8), transcript variant 3, mRNA.","Chr5: 60.235281","6.985","N/A","N/A","N/A","0.267","145","1.180e-03","0.272","-0.671"
"6444","ILMN_1652037","UPP2","uridine phosphorylase 2 (UPP2), mRNA.","Chr2: 158.700491","6.976","N/A","N/A","N/A","-0.267","145","1.181e-03","--","0.385"
"6445","ILMN_1753525","TCEAL7","transcription elongation factor A (SII)-like 7 (TCEAL7), mRNA.","ChrX: 102.473239","10.825","N/A","N/A","N/A","0.267","145","1.182e-03","--","-0.108"
"6446","ILMN_1665384","SH3BP5L","SH3-binding domain protein 5-like (SH3BP5L), mRNA.","Chr1: 247.071517","7.620","N/A","N/A","N/A","-0.267","145","1.184e-03","--","0.349"
"6447","ILMN_1737972","TSPYL5","TSPY-like 5 (TSPYL5), mRNA.","Chr8: 98.355226","8.494","N/A","N/A","N/A","-0.267","145","1.184e-03","--","-0.223"
"6448","ILMN_1810590","TCEB3C","transcription elongation factor B polypeptide 3C (elongin A3) (TCEB3C), mRNA.","Chr18: 42.809279","6.845","N/A","N/A","N/A","-0.267","145","1.184e-03","--","--"
"6449","ILMN_1788489","HIST1H3F","histone cluster 1, H3f (HIST1H3F), mRNA.","Chr6: 26.358475","7.055","N/A","N/A","N/A","-0.267","145","1.186e-03","0.328","-0.086"
"6450","ILMN_1778924","PDE1A","phosphodiesterase 1A, calmodulin-dependent (PDE1A), transcript variant 2, mRNA.","Chr2: 182.740988","8.498","N/A","N/A","N/A","0.267","145","1.187e-03","0.434","-0.154"
"6451","ILMN_1665463","ZNF678","zinc finger protein 678 (ZNF678), mRNA.","Chr1: 225.910570","6.913","N/A","N/A","N/A","-0.267","145","1.187e-03","--","--"
"6452","ILMN_1811472","KIF23","kinesin family member 23 (KIF23), transcript variant 2, mRNA.","Chr15: 67.526297","7.064","N/A","N/A","N/A","-0.267","145","1.187e-03","0.235","0.242"
"6453","ILMN_1806721","MS4A2","membrane-spanning 4-domains, subfamily A, member 2 (Fc fragment of IgE, high affinity I, receptor for; beta polypeptide) (MS4A2), mRNA.","Chr11: 59.622246","7.002","N/A","N/A","N/A","-0.267","145","1.189e-03","0.317","0.239"
"6454","ILMN_1726562","ERCC1","excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence) (ERCC1), transcript variant 2, mRNA.","Chr19: 50.610006","8.090","N/A","N/A","N/A","0.267","145","1.189e-03","0.409","-0.285"
"6455","ILMN_1685470","LEP","leptin (obesity homolog, mouse) (LEP), mRNA.","Chr7: 127.684365","6.919","N/A","N/A","N/A","-0.267","145","1.189e-03","0.338","0.353"
"6456","ILMN_1663367","SERHL","serine hydrolase-like (SERHL), mRNA.","Chr22: 41.236659","6.937","N/A","N/A","N/A","-0.267","145","1.190e-03","--","0.449"
"6457","ILMN_1675941","DUSP15","dual specificity phosphatase 15 (DUSP15), transcript variant 3, mRNA.","Chr20: 29.921355","6.925","N/A","N/A","N/A","-0.267","145","1.191e-03","0.311","-0.237"
"6458","ILMN_1697308","AFF3","AF4/FMR2 family, member 3 (AFF3), transcript variant 1, mRNA.","Chr2: 100.125418","6.917","N/A","N/A","N/A","-0.267","145","1.193e-03","0.362","-0.583"
"6459","ILMN_1805111","BRWD1","bromodomain and WD repeat domain containing 1 (BRWD1), transcript variant 3, mRNA.","Chr21: 39.592372","7.332","N/A","N/A","N/A","0.267","145","1.193e-03","0.361","-0.120"
"6460","ILMN_1727135","FIBCD1","fibrinogen C domain containing 1 (FIBCD1), mRNA.","Chr9: 132.767745","7.097","N/A","N/A","N/A","-0.267","145","1.194e-03","--","-0.458"
"6461","ILMN_1664434","TCF3","transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47) (TCF3), mRNA.","Chr19: 1.560558","7.365","N/A","N/A","N/A","0.266","145","1.195e-03","--","0.367"
"6462","ILMN_1684450","UBASH3A","ubiquitin associated and SH3 domain containing, A (UBASH3A), transcript variant 1, mRNA.","Chr21: 42.706636","6.919","N/A","N/A","N/A","-0.266","145","1.196e-03","--","-0.174"
"6463","ILMN_1756734","MYO15A","myosin XVA (MYO15A), mRNA.","ChrUn: 1.000000","6.977","N/A","N/A","N/A","-0.266","145","1.196e-03","0.319","--"
"6464","ILMN_1755734","VSX1","visual system homeobox 1 homolog, CHX10-like (zebrafish) (VSX1), transcript variant 1, mRNA.","Chr20: 25.004942","6.896","N/A","N/A","N/A","-0.266","145","1.196e-03","--","-0.097"
"6465","ILMN_1759480","LRRC10","leucine rich repeat containing 10 (LRRC10), mRNA.","Chr12: 68.288924","6.906","N/A","N/A","N/A","-0.266","145","1.196e-03","0.281","0.320"
"6466","ILMN_1704758","CXORF15","chromosome X open reading frame 15 (CXorf15), mRNA.","ChrX: 16.769999","6.968","N/A","N/A","N/A","0.266","145","1.197e-03","--","--"
"6467","ILMN_1715984","GREB1","GREB1 protein (GREB1), transcript variant c, mRNA.","Chr2: 11.643402","6.918","N/A","N/A","N/A","-0.266","145","1.197e-03","0.255","-0.030"
"6468","ILMN_1654466","PLAC4","placenta-specific 4 (PLAC4), mRNA.","ChrUn: 1.000000","6.956","N/A","N/A","N/A","-0.266","145","1.197e-03","--","--"
"6469","ILMN_1688392","ZBED2","zinc finger, BED-type containing 2 (ZBED2), mRNA.","Chr3: 112.794701","6.880","N/A","N/A","N/A","-0.266","145","1.198e-03","--","--"
"6470","ILMN_1747258","FMN2","formin 2 (FMN2), mRNA.","Chr1: 238.704663","9.176","N/A","N/A","N/A","-0.266","145","1.198e-03","0.371","-0.039"
"6471","ILMN_1660413","SGK2","serum/glucocorticoid regulated kinase 2 (SGK2), transcript variant 1, mRNA.","Chr20: 41.621122","6.908","N/A","N/A","N/A","-0.266","145","1.199e-03","0.290","0.483"
"6472","ILMN_1713840","HYAL2","hyaluronoglucosaminidase 2 (HYAL2), transcript variant 1, mRNA.","Chr3: 50.335093","6.830","N/A","N/A","N/A","-0.266","145","1.200e-03","0.422","0.728"
"6473","ILMN_1663173","LOC442582","STAG3-like (LOC442582), mRNA.","Chr7: 73.936842","7.391","N/A","N/A","N/A","0.266","145","1.201e-03","--","--"
"6474","ILMN_1679086","SFRS2IP","splicing factor, arginine/serine-rich 2, interacting protein (SFRS2IP), mRNA.","Chr12: 1.000000","6.970","N/A","N/A","N/A","-0.266","145","1.201e-03","0.207","0.082"
"6475","ILMN_1667644","RAD51C","RAD51 homolog C (S. cerevisiae) (RAD51C), transcript variant 2, mRNA.","Chr17: 54.127592","6.875","N/A","N/A","N/A","-0.266","145","1.201e-03","0.282","-0.668"
"6476","ILMN_1719209","FLJ31222","FLJ31222 protein (FLJ31222), mRNA.","Chr17: 38.284237","6.968","N/A","N/A","N/A","-0.266","145","1.201e-03","--","--"
"6477","ILMN_1736635","PTK9","PTK9 protein tyrosine kinase 9 (PTK9), transcript variant 2, mRNA.","Chr12: 42.486015","6.962","N/A","N/A","N/A","-0.266","145","1.202e-03","--","--"
"6478","ILMN_1704598","HYAL4","hyaluronoglucosaminidase 4 (HYAL4), mRNA.","Chr7: 123.304351","6.984","N/A","N/A","N/A","-0.266","145","1.203e-03","0.319","0.013"
"6479","ILMN_1691007","PNPLA3","patatin-like phospholipase domain containing 3 (PNPLA3), mRNA.","Chr22: 42.674599","6.929","N/A","N/A","N/A","-0.266","145","1.203e-03","0.401","0.251"
"6480","ILMN_1737313","STK31","serine/threonine kinase 31 (STK31), transcript variant 2, mRNA.","Chr7: 23.716572","6.901","N/A","N/A","N/A","-0.266","145","1.204e-03","--","-0.534"
"6481","ILMN_1714569","PCTK1","PCTAIRE protein kinase 1 (PCTK1), transcript variant 1, mRNA.","ChrX: 46.963123","7.007","N/A","N/A","N/A","-0.266","145","1.204e-03","0.334","0.116"
"6482","ILMN_1722826","GIPC3","GIPC PDZ domain containing family, member 3 (GIPC3), mRNA.","Chr19: 3.541054","6.885","N/A","N/A","N/A","-0.266","145","1.204e-03","0.244","-0.023"
"6483","ILMN_1774749","SSTR3","somatostatin receptor 3 (SSTR3), mRNA.","Chr22: 35.932397","6.941","N/A","N/A","N/A","-0.266","145","1.205e-03","--","-0.034"
"6484","ILMN_1815115","CYC1","cytochrome c-1 (CYC1), mRNA.","Chr8: 145.224237","12.771","N/A","N/A","N/A","-0.266","145","1.205e-03","0.183","0.552"
"6485","ILMN_1687919","MAGEE2","melanoma antigen family E, 2 (MAGEE2), mRNA.","ChrX: 74.919927","7.197","N/A","N/A","N/A","-0.266","145","1.208e-03","--","-0.125"
"6486","ILMN_1740045","ESR2","estrogen receptor 2 (ER beta) (ESR2), mRNA.","Chr14: 63.771485","7.015","N/A","N/A","N/A","-0.266","145","1.208e-03","0.392","-0.043"
"6487","ILMN_1782173","CBX3","chromobox homolog 3 (HP1 gamma homolog, Drosophila) (CBX3), transcript variant 2, mRNA.","Chr7: 26.219432","6.845","N/A","N/A","N/A","-0.266","145","1.209e-03","0.323","-0.294"
"6488","ILMN_1753658","C6ORF118","chromosome 6 open reading frame 118 (C6orf118), mRNA.","Chr6: 165.613504","6.870","N/A","N/A","N/A","-0.266","145","1.210e-03","--","--"
"6489","ILMN_1791951","KRTAP13-1","keratin associated protein 13-1 (KRTAP13-1), mRNA.","Chr21: 30.690253","6.920","N/A","N/A","N/A","-0.266","145","1.210e-03","--","-0.072"
"6490","ILMN_1785324","MTHFD1","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase (MTHFD1), mRNA.","Chr14: 63.991334","7.282","N/A","N/A","N/A","0.266","145","1.211e-03","0.527","0.582"
"6491","ILMN_1783546","FLJ10769","hypothetical protein FLJ10769 (FLJ10769), mRNA.","ChrUn: 1.000000","10.577","N/A","N/A","N/A","0.266","145","1.211e-03","0.317","--"
"6492","ILMN_1728540","FUNDC1","FUN14 domain containing 1 (FUNDC1), mRNA.","ChrX: 44.268279","9.164","N/A","N/A","N/A","-0.266","145","1.211e-03","0.254","0.132"
"6493","ILMN_1674926","C19ORF35","chromosome 19 open reading frame 35 (C19orf35), mRNA.","Chr19: 2.225968","6.932","N/A","N/A","N/A","-0.266","145","1.212e-03","--","--"
"6494","ILMN_1716754","PRKAG3","protein kinase, AMP-activated, gamma 3 non-catalytic subunit (PRKAG3), mRNA.","Chr2: 219.395688","6.925","N/A","N/A","N/A","-0.266","145","1.212e-03","0.399","0.045"
"6495","ILMN_1798475","CSF2RB","colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage) (CSF2RB), mRNA.","Chr22: 35.664524","6.998","N/A","N/A","N/A","-0.266","145","1.212e-03","0.384","0.227"
"6496","ILMN_1752476","C6ORF134","chromosome 6 open reading frame 134 (C6orf134), transcript variant 2, mRNA.","Chr6: 30.720239","8.085","N/A","N/A","N/A","0.266","145","1.212e-03","0.416","--"
"6497","ILMN_1679880","THOC6","THO complex 6 homolog (Drosophila) (THOC6), mRNA.","Chr16: 3.017232","7.454","N/A","N/A","N/A","0.266","145","1.212e-03","--","-0.113"
"6498","ILMN_1676826","CHRFAM7A","CHRNA7 (cholinergic receptor, nicotinic, alpha 7, exons 5-10) and FAM7A (family with sequence similarity 7A, exons A-E) fusion (CHRFAM7A), transcript variant 2, mRNA.","Chr15: 28.440746","6.863","N/A","N/A","N/A","-0.266","145","1.213e-03","--","--"
"6499","ILMN_1689655","HLA-DRA","major histocompatibility complex, class II, DR alpha (HLA-DRA), mRNA.","Chr6: 32.519563","10.469","N/A","N/A","N/A","0.266","145","1.214e-03","--","--"
"6500","ILMN_1652309","TTC8","tetratricopeptide repeat domain 8 (TTC8), transcript variant 3, mRNA.","Chr14: 88.413943","7.777","N/A","N/A","N/A","-0.266","145","1.214e-03","--","-0.088"
"6501","ILMN_1782094","PAIP2","poly(A) binding protein interacting protein 2 (PAIP2), transcript variant 2, mRNA.","Chr5: 138.705447","7.567","N/A","N/A","N/A","0.266","145","1.215e-03","0.422","0.071"
"6502","ILMN_1668825","DKFZP686I15217","hypothetical protein DKFZp686I15217 (DKFZp686I15217), mRNA.","Chr6: 2.935751","7.372","N/A","N/A","N/A","0.266","145","1.215e-03","--","--"
"6503","ILMN_1702777","CCDC110","coiled-coil domain containing 110 (CCDC110), mRNA.","Chr4: 186.603428","6.898","N/A","N/A","N/A","-0.266","145","1.215e-03","--","-0.570"
"6504","ILMN_1730019","BRD1","bromodomain containing 1 (BRD1), mRNA.","Chr22: 48.553312","7.122","N/A","N/A","N/A","0.266","145","1.215e-03","--","-0.452"
"6505","ILMN_1687409","CRYGN","crystallin, gamma N (CRYGN), mRNA.","Chr7: 150.764215","6.983","N/A","N/A","N/A","-0.266","145","1.216e-03","0.158","0.047"
"6506","ILMN_1700657","NRXN3","neurexin 3 (NRXN3), transcript variant alpha, mRNA.","Chr14: 78.503328","6.865","N/A","N/A","N/A","0.266","145","1.217e-03","0.486","-0.299"
"6507","ILMN_1694174","TRIM68","tripartite motif-containing 68 (TRIM68), mRNA.","Chr11: 4.576625","8.525","N/A","N/A","N/A","0.266","145","1.217e-03","--","0.180"
"6508","ILMN_1665022","SMN1","survival of motor neuron 1, telomeric (SMN1), transcript variant d, mRNA.","Chr5: 70.256524","6.937","N/A","N/A","N/A","-0.266","145","1.217e-03","--","-0.345"
"6509","ILMN_1697916","GYLTL1B","glycosyltransferase-like 1B (GYLTL1B), mRNA.","ChrUn: 1.000000","6.952","N/A","N/A","N/A","-0.266","145","1.219e-03","0.227","-0.132"
"6510","ILMN_1698323","PLEKHB2","pleckstrin homology domain containing, family B (evectins) member 2 (PLEKHB2), transcript variant 1, mRNA.","Chr2: 131.606970","9.348","N/A","N/A","N/A","0.266","145","1.220e-03","0.301","0.226"
"6511","ILMN_1707328","KLRC2","killer cell lectin-like receptor subfamily C, member 2 (KLRC2), mRNA.","Chr12: 10.477804","6.886","N/A","N/A","N/A","-0.266","145","1.222e-03","0.212","0.575"
"6512","ILMN_1790704","SPAG16","sperm associated antigen 16 (SPAG16), transcript variant 1, mRNA.","Chr2: 214.983184","7.009","N/A","N/A","N/A","-0.266","145","1.223e-03","--","-0.534"
"6513","ILMN_1686156","CUL4A","cullin 4A (CUL4A), transcript variant 1, mRNA.","Chr13: 112.912037","6.879","N/A","N/A","N/A","-0.266","145","1.223e-03","0.358","0.130"
"6514","ILMN_1700240","MMD2","monocyte to macrophage differentiation-associated 2 (MMD2), mRNA.","Chr7: 4.912453","7.615","N/A","N/A","N/A","0.266","145","1.224e-03","--","-0.110"
"6515","ILMN_1657199","NFASC","neurofascin homolog (chicken) (NFASC), transcript variant 3, mRNA.","Chr1: 203.212643","7.087","N/A","N/A","N/A","0.266","145","1.225e-03","0.284","-0.104"
"6516","ILMN_1674236","HSPB1","heat shock 27kDa protein 1 (HSPB1), mRNA.","Chr7: 75.771381","14.115","N/A","N/A","N/A","-0.266","145","1.226e-03","0.413","0.140"
"6517","ILMN_1737912","GLRX2","glutaredoxin 2 (GLRX2), transcript variant 1, mRNA.","Chr1: 191.341356","6.908","N/A","N/A","N/A","-0.266","145","1.227e-03","0.465","-0.190"
"6518","ILMN_1735988","ELF2","E74-like factor 2 (ets domain transcription factor) (ELF2), transcript variant 1, mRNA.","Chr4: 140.265842","7.245","N/A","N/A","N/A","0.266","145","1.230e-03","0.358","-0.200"
"6519","ILMN_1704295","LOC220594","TL132 protein (LOC220594), mRNA.","Chr17: 18.363734","6.869","N/A","N/A","N/A","-0.266","145","1.231e-03","--","--"
"6520","ILMN_1664826","FBXO33","F-box protein 33 (FBXO33), mRNA.","Chr14: 38.936921","9.033","N/A","N/A","N/A","-0.266","145","1.232e-03","0.352","-0.155"
"6521","ILMN_1720727","SLCO1A2","solute carrier organic anion transporter family, member 1A2 (SLCO1A2), transcript variant 3, mRNA.","Chr12: 21.319153","6.913","N/A","N/A","N/A","-0.266","145","1.232e-03","--","--"
"6522","ILMN_1692651","PHB","prohibitin (PHB), mRNA.","Chr17: 44.836462","9.563","N/A","N/A","N/A","0.266","145","1.233e-03","0.458","0.118"
"6523","ILMN_1797611","TGFBR1","transforming growth factor, beta receptor I (activin A receptor type II-like kinase, 53kDa) (TGFBR1), mRNA.","Chr9: 100.955960","6.968","N/A","N/A","N/A","-0.266","145","1.234e-03","--","-0.032"
"6524","ILMN_1717594","DKFZP761E198","DKFZp761E198 protein (DKFZp761E198), mRNA.","Chr11: 65.300242","7.191","N/A","N/A","N/A","-0.266","145","1.236e-03","--","--"
"6525","ILMN_1712792","C3ORF23","chromosome 3 open reading frame 23 (C3orf23), transcript variant 2, mRNA.","Chr3: 44.355078","6.874","N/A","N/A","N/A","-0.266","145","1.238e-03","--","--"
"6526","ILMN_1794299","ZSWIM3","zinc finger, SWIM-type containing 3 (ZSWIM3), mRNA.","ChrUn: 1.000000","6.924","N/A","N/A","N/A","-0.266","145","1.239e-03","--","-0.745"
"6527","ILMN_1729105","SYNE1","spectrin repeat containing, nuclear envelope 1 (SYNE1), transcript variant beta, mRNA.","Chr6: 152.681116","6.901","N/A","N/A","N/A","-0.266","145","1.239e-03","--","0.090"
"6528","ILMN_1802907","CBWD3","COBW domain containing 3 (CBWD3), mRNA.","Chr9: 70.053581","6.932","N/A","N/A","N/A","-0.266","145","1.243e-03","--","--"
"6529","ILMN_1742538","PCDHGC4","protocadherin gamma subfamily C, 4 (PCDHGC4), transcript variant 2, mRNA.","Chr5: 140.847316","6.913","N/A","N/A","N/A","-0.266","145","1.243e-03","--","-0.055"
"6530","ILMN_1746604","IL6ST","interleukin 6 signal transducer (gp130, oncostatin M receptor) (IL6ST), transcript variant 2, mRNA.","Chr5: 55.272655","6.874","N/A","N/A","N/A","0.266","145","1.243e-03","0.371","0.435"
"6531","ILMN_1654389","LOC728744","hypothetical protein LOC728744 (LOC728744), mRNA.","Chr1: 120.727923","6.990","N/A","N/A","N/A","-0.266","145","1.244e-03","--","--"
"6532","ILMN_1663541","B4GALT7","xylosylprotein beta 1,4-galactosyltransferase, polypeptide 7 (galactosyltransferase I) (B4GALT7), mRNA.","Chr5: 176.969704","9.073","N/A","N/A","N/A","-0.266","145","1.245e-03","0.229","-0.010"
"6533","ILMN_1675429","SMURF2","SMAD specific E3 ubiquitin protein ligase 2 (SMURF2), mRNA.","Chr17: 59.971250","6.948","N/A","N/A","N/A","-0.266","145","1.245e-03","--","0.278"
"6534","ILMN_1697412","RHBG","Rh family, B glycoprotein (RHBG), mRNA.","ChrUn: 1.000000","6.965","N/A","N/A","N/A","-0.266","145","1.247e-03","0.394","0.326"
"6535","ILMN_1665873","DST","dystonin (DST), transcript variant 1eB, mRNA.","Chr6: 56.576598","6.854","N/A","N/A","N/A","-0.265","145","1.249e-03","0.444","0.189"
"6536","ILMN_1753745","HDDC2","HD domain containing 2 (HDDC2), mRNA.","ChrUn: 1.000000","16.353","N/A","N/A","N/A","-0.265","145","1.250e-03","--","-0.208"
"6537","ILMN_1741692","FOXL1","forkhead box L1 (FOXL1), mRNA.","ChrUn: 1.000000","6.868","N/A","N/A","N/A","-0.265","145","1.251e-03","0.377","0.533"
"6538","ILMN_1771043","CBFA2T3","core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (CBFA2T3), transcript variant 1, mRNA.","Chr16: 87.491993","6.913","N/A","N/A","N/A","-0.265","145","1.252e-03","0.329","0.011"
"6539","ILMN_1804279","PTPRC","protein tyrosine phosphatase, receptor type, C (PTPRC), transcript variant 1, mRNA.","ChrUn: 1.000000","6.991","N/A","N/A","N/A","-0.265","145","1.253e-03","0.280","-0.090"
"6540","ILMN_1808196","GSTO1","glutathione S-transferase omega 1 (GSTO1), mRNA.","Chr10: 106.009463","11.795","N/A","N/A","N/A","0.265","145","1.253e-03","0.529","0.101"
"6541","ILMN_1681350","SYK","spleen tyrosine kinase (SYK), mRNA.","Chr9: 92.698028","7.104","N/A","N/A","N/A","0.265","145","1.256e-03","--","0.017"
"6542","ILMN_1769540","FLJ43276","FLJ43276 protein (FLJ43276), mRNA.","ChrUn: 1.000000","6.950","N/A","N/A","N/A","-0.265","145","1.258e-03","--","--"
"6543","ILMN_1657686","PDE8A","phosphodiesterase 8A (PDE8A), transcript variant 5, mRNA.","Chr15: 83.435045","6.910","N/A","N/A","N/A","-0.265","145","1.259e-03","0.436","-0.073"
"6544","ILMN_1712082","GCNT3","glucosaminyl (N-acetyl) transferase 3, mucin type (GCNT3), mRNA.","Chr15: 57.699351","6.917","N/A","N/A","N/A","-0.265","145","1.260e-03","0.396","-0.185"
"6545","ILMN_1696433","CPB2","carboxypeptidase B2 (plasma) (CPB2), transcript variant 1, mRNA.","ChrUn: 1.000000","6.850","N/A","N/A","N/A","-0.265","145","1.260e-03","0.451","0.593"
"6546","ILMN_1654875","CLC","Charcot-Leyden crystal protein (CLC), mRNA.","Chr19: 44.916827","6.936","N/A","N/A","N/A","-0.265","145","1.261e-03","--","--"
"6547","ILMN_1717783","ACTBL1","actin, beta-like 1 (ACTBL1), mRNA.","ChrUn: 1.000000","6.976","N/A","N/A","N/A","-0.265","145","1.261e-03","--","--"
"6548","ILMN_1795190","CLDN2","claudin 2 (CLDN2), mRNA.","ChrX: 106.060454","6.937","N/A","N/A","N/A","-0.265","145","1.262e-03","0.354","0.483"
"6549","ILMN_1723794","UNG2","uracil-DNA glycosylase 2 (UNG2), transcript variant 2, mRNA.","Chr5: 54.564512","6.963","N/A","N/A","N/A","-0.265","145","1.263e-03","0.258","--"
"6550","ILMN_1781145","GPRC5D","G protein-coupled receptor, family C, group 5, member D (GPRC5D), mRNA.","Chr12: 12.993706","6.892","N/A","N/A","N/A","-0.265","145","1.263e-03","0.298","--"
"6551","ILMN_1672157","PUS1","pseudouridylate synthase 1 (PUS1), transcript variant 1, mRNA.","Chr12: 130.980088","6.987","N/A","N/A","N/A","-0.265","145","1.264e-03","0.387","0.443"
"6552","ILMN_1715923","TAS2R60","taste receptor, type 2, member 60 (TAS2R60), mRNA.","Chr7: 142.851186","6.971","N/A","N/A","N/A","-0.265","145","1.266e-03","--","--"
"6553","ILMN_1751757","CES3","carboxylesterase 3 (brain) (CES3), mRNA.","Chr16: 65.564863","6.977","N/A","N/A","N/A","-0.265","145","1.267e-03","0.340","0.603"
"6554","ILMN_1768784","PSMC2","proteasome (prosome, macropain) 26S subunit, ATPase, 2 (PSMC2), mRNA.","Chr7: 102.795596","11.922","N/A","N/A","N/A","0.265","145","1.268e-03","0.323","-0.159"
"6555","ILMN_1768394","ARPC5","actin related protein 2/3 complex, subunit 5, 16kDa (ARPC5), mRNA.","Chr1: 181.862120","11.816","N/A","N/A","N/A","0.265","145","1.269e-03","0.258","0.203"
"6556","ILMN_1741168","SPRY4","sprouty homolog 4 (Drosophila) (SPRY4), mRNA.","Chr5: 141.673917","6.976","N/A","N/A","N/A","-0.265","145","1.269e-03","--","0.375"
"6557","ILMN_1704163","SULT1E1","sulfotransferase family 1E, estrogen-preferring, member 1 (SULT1E1), mRNA.","Chr4: 70.741806","6.986","N/A","N/A","N/A","-0.265","145","1.269e-03","--","0.056"
"6558","ILMN_1695949","SIGLEC12","sialic acid binding Ig-like lectin 12 (SIGLEC12), transcript variant 2, mRNA.","Chr19: 56.695389","6.924","N/A","N/A","N/A","-0.265","145","1.271e-03","--","--"
"6559","ILMN_1655236","GFPT2","glutamine-fructose-6-phosphate transaminase 2 (GFPT2), mRNA.","Chr5: 179.660430","8.771","N/A","N/A","N/A","0.265","145","1.271e-03","0.294","0.198"
"6560","ILMN_1677484","SNAPC4","small nuclear RNA activating complex, polypeptide 4, 190kDa (SNAPC4), mRNA.","Chr9: 138.389893","9.799","N/A","N/A","N/A","-0.265","145","1.271e-03","--","-0.161"
"6561","ILMN_1713143","MRPL3","mitochondrial ribosomal protein L3 (MRPL3), nuclear gene encoding mitochondrial protein, mRNA.","Chr3: 132.664237","10.057","N/A","N/A","N/A","0.265","145","1.272e-03","--","0.117"
"6562","ILMN_1753040","ASB7","ankyrin repeat and SOCS box-containing 7 (ASB7), transcript variant 2, mRNA.","Chr15: 99.007044","6.880","N/A","N/A","N/A","0.265","145","1.274e-03","--","0.140"
"6563","ILMN_1782057","ATP8B2","ATPase, Class I, type 8B, member 2 (ATP8B2), transcript variant 1, mRNA.","Chr1: 152.590047","7.820","N/A","N/A","N/A","-0.265","145","1.275e-03","0.164","-0.026"
"6564","ILMN_1660661","TCP1","t-complex 1 (TCP1), transcript variant 1, mRNA.","Chr6: 160.129111","7.685","N/A","N/A","N/A","0.265","145","1.276e-03","--","-0.603"
"6565","ILMN_1673117","ZWINT","ZW10 interactor (ZWINT), transcript variant 4, mRNA.","Chr10: 57.789661","6.909","N/A","N/A","N/A","-0.265","145","1.277e-03","--","0.075"
"6566","ILMN_1717492","GHSR","growth hormone secretagogue receptor (GHSR), transcript variant 1b, mRNA.","Chr3: 173.648047","6.932","N/A","N/A","N/A","-0.265","145","1.279e-03","0.475","0.258"
"6567","ILMN_1755391","ARL2BP","ADP-ribosylation factor-like 2 binding protein (ARL2BP), mRNA.","Chr16: 55.844676","11.391","N/A","N/A","N/A","-0.265","145","1.279e-03","0.359","-0.612"
"6568","ILMN_1685623","TM4SF5","transmembrane 4 L six family member 5 (TM4SF5), mRNA.","Chr17: 4.632617","6.950","N/A","N/A","N/A","-0.265","145","1.279e-03","--","-0.009"
